"ChannelID","ChannelName"
"epg-usa-latin-mega-a249b1d6","USA Latin Mega"
"epg-usa-nfl-sunday-705-detroit-lions-vs-buffalo-bills-08-15-pm-edt-81cba79d","USA NFL Sunday 705: Detroit Lions vs Buffalo Bills @ 08:15 PM EDT"
"epg-usa-billiard-tv-1f84683a","USA Billiard TV"
"epg-al-big-brother-1-70b192cd","AL: Big Brother 1"
"1.L","DE: World DAZN 1"
"100NLTV.nl","NL: 100% NL TV"
"10365","AF: SOUNDCITY"
"123TV.de","DE: 1-2-3 TV HD"
"12Keshet.il","IL: Keshet HD"
"13emeRue.mu","FR 13eme RUE HD"
"13Reshet.il","IL: Reshet 13 HD"
"13thstreet.de","DE: SKY 13 STREET FHD"
"13tv.es","ES: TRECE SD"
"13ulica.pl","PL: 13 Ulica HD"
"192TV.nl","NL: 192 TV"
"epg-de-world-dazn-2-8b3551ce","DE: World DAZN 2"
"epg-de-dazn-2-bar-hd-99091aec","DE: DAZN 2 Bar HD"
"epg-bg-bnt-4-hd-c7268e1c","BG: BNT 4 HD"
"epg-bg-bnt-1-hd-95759be1","BG: BNT 1 HD"
"epg-bg-bnt-2-hd-efbbd567","BG: BNT 2 HD"
"epg-bg-bnt3-hd-e8c34c69","BG: BNT3 HD"
"epg-bg-btv-hd-7141306d","BG: BTV HD"
"epg-bg-btv-lady-70926dfd","BG: bTV Lady"
"epg-it-mediaset-italia-d036e9dc","IT: Mediaset Italia"
"epg-it-mediaset-20-846c00f8","IT: Mediaset 20"
"epg-it-dazn-1-22bda876","IT: DAZN 1"
"22nacional.mx","MX: Canal 22 Internacional"
"24.ua","24/7 Fauda"
"epg-se-tv-8-1ce8a683","SE: TV 8"
"epg-se-kunskapskanalen-536fc889","SE: Kunskapskanalen"
"epg-se-disney-junior-833e31f6","SE: Disney Junior"
"epg-se-nick-jr-e31628c7","SE: Nick Jr"
"epg-se-svt24-2cece70a","SE: SVT24"
"epg-se-tv3-sport-bd576fd3","SE: TV3 Sport"
"247CanaldeNoticias.ar","24/7 To Catch a Beautician"
"epg-24-7-en-tout-cas-2a53e358","24/7 En Tout Cas"
"epg-24-7-detroiters-cede583c","24/7 Detroiters"
