"ChannelID","ChannelName","ProgrammeCount","NoDataCount"
"YesTV.ca","IL: Yes Travel Channel","60","3"
"globalbc.ca","CA GLOBAL BC","48","3"
"amitv.ca","CA AMI TELEVISION","71","3"
"historychannel.uk","UK History Channel FHD","49","3"
"alibi.uk","UK Alibi","37","3"
"skyfamily.uk","UK SKY CINEMA FAMILY","27","3"
"fairchild.ca","CA FAIRCHILD","67","3"
"TVASports.ca","AL: TV Diaspora","30","3"
"skyaction.uk","UK SKY CINEMA ACTION FHD","23","3"
"chch.ca","CA CHCH","52","3"
"racinguk.uk","UK Racing FHD","32","3"
"telemundokhrr.us","LA: TELEMUNDO 40 (Tucson) HD","47","2"
"epg-ca-magnolia-f95bc162","CA Magnolia","12","2"
"nSport.pl","BG: SPORT +","2","2"
"epg-ca-rds-fr-d395ff91","CA RDS (FR)","43","2"
"telemundowktb.us","LA: Telemundo (WKTB) Atlanta","49","2"
"prise2.ca","CA Prise 2 (FR)","38","2"
"peachtree.ca","CA PEACHTREE","57","2"
"telemundoknso.us","LA: Telemundo Fresno","50","2"
"mtv.es","ES: MTV SD","2","2"
"Telefe.ar","IT: Telefoggia","2","2"
"lovenature.ca","CA Love Nature","51","2"
"telemundowneu.us","LA: Telemundo Boston HD","46","2"
"telemundowsns.us","LA: TELEMUNDO CHICAGO","47","2"
"Teleunion.do","IT: Telenord","2","2"
"epg-ca-oxygen-true-crime-a9a723c7","CA Oxygen True Crime","38","2"
"natgeowild.ca","CA Nat Geo Wild","46","2"
"epg-ca-much-01374fca","CA Much","45","2"
"movietime.ca","CA MOVIETIME HD","19","2"
"natgeo.ca","CA National Geographic","41","2"
"ntvcjon.ca","CA NTV","50","2"
"nflnetworkcanada.ca","CA NFL Network","23","2"
"nbatv.ca","CA NBA TV","35","2"
"themiraclechannel.ca","CA MIRACLE","66","2"
"max.ca","CA MAX","34","2"
"outtv.ca","CA OUT TV","59","2"
"epg-ca-makeful-3199c3de","CA Makeful","48","2"
"omni2.ca","CA OMNI 2","70","2"
"ten.es","ES: TEN","2","2"
"teledeporte.es","ES: TELEDEPORTE FHD","2","2"
"omni1.ca","CA OMNI","60","2"
"univision41wxtv.us","LA: Univision New York NY","51","2"
"univision23wltv.us","LA: Univision Miami HD","51","2"
"univisionwlii.us","LA: Univision Puerto Rico HD","39","2"
"univision33ktvw.us","LA: Univision Phoenix HD","51","2"
"univisioneastern.us","LA: Univision East HD","52","2"
"epg-la-univision-cleveland-hd-e9e0e14a","LA: Univision Cleveland HD","51","2"
"univision34kmex.us","LA: Univision Los Angeles HD","50","2"
"univision45kxln.us","LA: Univision Houston HD","52","2"
"epg-maryland-salisbury-fox-wboc-eeba4c59","MARYLAND | Salisbury | Fox WBOC","59","2"
"unimas68wfut.us","LA: UnivisionNow: Unimas NewYork","48","2"
"artv.ca","CA ICI ARTV HD","38","2"
"epg-ca-ici-rdi-722c895a","CA ICI RDI","44","2"
"epg-la-univision-telenovelas-hd-cfd23e01","LA: Univision Telenovelas HD","43","2"
"univision41kwex.us","LA: Univision San Antonio HD","52","2"
"investigation.ca","CA Investigation HD","41","2"
"univision14kdtv.us","LA: UnivisionNow Univision SanFrancisco","51","2"
"univision66wgbo.us","LA: Univision Chicago HD","52","2"
"epg-la-telemundo-miami-hd-4ff8a7ab","LA: TELEMUNDO MIAMI HD","45","2"
