"ChannelID","ChannelName","ProgrammeCount","ScheduleGaps","ScheduleOverlaps"
"m3u-247-married-at-first-sight","24/7 Married at First Sight","180","0","120"
"m3u-247-the-streets-of-san-francisco","24/7 The Streets Of San Francisco","240","0","120"
"m3u-247-the-worst-witch","24/7 The Worst Witch","240","0","120"
"m3u-247-what-i-like-about-you","24/7 What I Like About You","240","0","120"
"m3u-247-diary-of-a-future-president","24/7 Diary of a Future President","240","0","120"
"m3u-247-el-dragon-return-of-a-warrior","24/7 El Dragon Return of a Warrior","180","0","120"
"m3u-247-homicide-hunter-lt-joe-kenda","24/7 Homicide Hunter Lt Joe Kenda","180","0","120"
"m3u-247-unfabulous","24/7 Unfabulous","240","0","120"
"m3u-247-life-in-pieces","24/7 Life in Pieces","240","0","120"
"m3u-247-undateable","24/7 Undateable","240","0","120"
"m3u-247-time-traveling-bong","24/7 Time Traveling Bong","240","0","120"
"m3u-247-united-we-fall","24/7 United We Fall","240","0","120"
"m3u-247-my-600lb-life","24/7 My 600-lb Life","180","0","120"
"m3u-247-the-last-leg","24/7 The Last Leg","240","0","120"
"m3u-247-chicago-p-d","24/7 Chicago P D","180","0","120"
"m3u-247-conan","24/7 Conan","240","0","120"
"m3u-247-power-rangers-beast-morphers","24/7 Power Rangers Beast Morphers","240","0","120"
"m3u-247-the-owl-house","24/7 The Owl House","240","0","120"
"m3u-247-united-states-of-tara","24/7 United States of Tara","240","0","120"
"m3u-247-catherine-tates-nan","24/7 Catherine Tates Nan","180","0","88"
"m3u-247-friday-night-dinner","24/7 Friday Night Dinner","180","0","88"
"m3u-247-real-time-with-bill-maher","24/7 Real Time with Bill Maher","180","0","88"
"m3u-247-george-lopez","24/7 George Lopez","180","0","88"
"m3u-living-single","Living Single","180","0","86"
"m3u-little-house-on-the-prairie","Little House on the Prairie","180","0","86"
"m3u-247-everythings-gonna-be-okay","24/7 Everythings Gonna Be Okay","180","0","86"
"m3u-247-married-with-children","24/7 Married with Children","180","0","86"
"m3u-247-the-ranch","24/7 The Ranch","120","0","60"
"m3u-247-true-nightmares","24/7 True Nightmares","120","0","60"
"m3u-247-treme","24/7 Treme","120","0","60"
"m3u-247-total-bellas","24/7 Total Bellas","120","0","60"
"m3u-247-the-real-housewives-of-new-york-city","24/7 The Real Housewives of New York City","120","0","60"
"m3u-247-the-protector","24/7 The Protector","120","0","60"
"m3u-247-transformers-robots-in-disguise","24/7 Transformers Robots in Disguise","120","0","60"
"m3u-247-the-good-fight","24/7 The Good Fight","120","0","60"
"m3u-247-tracey-ullman-s-show","24/7 Tracey Ullman s Show","120","0","60"
"m3u-247-whats-happening","24/7 Whats Happening","120","0","60"
"m3u-247-white-collar","24/7 White Collar","120","0","60"
"m3u-247-weird-science","24/7 Weird Science","120","0","60"
"m3u-247-wet-hot-american-summer-first-day-of-camp","24/7 Wet Hot American Summer First Day Of Camp","120","0","60"
"m3u-247-whitechapel","24/7 Whitechapel","120","0","60"
"m3u-247-yellowstone","24/7 Yellowstone","120","0","60"
"m3u-game-of-thrones","Game Of Thrones","120","0","60"
"m3u-247-worst-cooks-in-america","24/7 Worst Cooks in America","120","0","60"
"m3u-247-wynonna-earp","24/7 Wynonna Earp","120","0","60"
"m3u-247-underground","24/7 Underground","120","0","60"
"m3u-247-unforgettable","24/7 Unforgettable","120","0","60"
"m3u-247-twin-peaks-the-return","24/7 Twin Peaks The Return","120","0","60"
"m3u-247-ultimate-spider-man","24/7 Ultimate Spider Man","120","0","60"
"m3u-247-unidentified-inside-americas-ufo-investigation","24/7 Unidentified Inside Americas UFO Investigation","120","0","60"
"m3u-247-walker-texas-ranger","24/7 Walker, Texas Ranger","120","0","60"
"m3u-247-weeds","24/7 Weeds","120","0","60"
"m3u-mystery-science-theater-3000","Mystery Science Theater 3000","120","0","60"
"m3u-247-vicar-of-dibley","24/7 Vicar of Dibley","120","0","60"
"m3u-247-swamp-thing","24/7 Swamp Thing","120","0","60"
"m3u-247-how-to-get-away-with-murder","24/7 How to Get Away with Murder","120","0","60"
"m3u-247-humans","24/7 Humans","120","0","60"
"m3u-247-grantchester","24/7 Grantchester","120","0","60"
"m3u-247-house-of-cards","24/7 House of Cards","120","0","60"
"m3u-247-jersey-shore-family-vacation","24/7 Jersey Shore: Family Vacation","120","0","60"
"m3u-247-law-and-order","24/7 Law and Order","120","0","60"
"m3u-247-life-size","24/7 Life Size","120","0","60"
"m3u-247-kindred-spirits","24/7 Kindred Spirits","120","0","60"
